[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.24789114 0.47219606]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.82522627 0.33692856]
[0.68778535 0.12915605]
[0.6900828  0.15443163]
[0.68778535 0.12915605]
[0.6900828  0.15443163]
[0.68778535 0.12915605]
[0.6900828  0.15443163]
[0.68778535 0.12915605]
[0.6900828  0.15443163]
[0.68778535 0.12915605]
[0.6900828  0.15443163]
[0.68778535 0.12915605]
[0.6900828  0.15443163]
[0.68778535 0.12915605]
[0.6900828  0.15443163]
[0.68778535 0.12915605]
[0.6900828  0.15443163]
[0.68778535 0.12915605]
[0.6900828  0.15443163]
[0.68778535 0.12915605]
[0.6900828  0.15443163]
[0.68778535 0.12915605]
[0.6900828  0.15443163]
[0.68778535 0.12915605]
[0.6900828  0.15443163]
[0.68778535 0.12915605]
[0.6900828  0.15443163]
[0.68778535 0.12915605]
[0.6900828  0.15443163]
[0.68778535 0.12915605]
[0.6900828  0.15443163]
[0.68778535 0.12915605]
[0.6900828  0.15443163]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.22317818 0.24339803]
[0.23358025 0.26270305]
[0.90314227 0.4393642 ]
